Station,County
CWF , 'MODOC'
MB3 , 'SISKIYOU'
SCT , 'SISKIYOU'
PET , 'TRINITY'
RRM , 'TRINITY'
BNK , 'TRINITY'
SHM , 'TRINITY'
HIG , 'TRINITY'
MUM , 'TRINITY'
BFL , 'TRINITY'
SDF , 'SISKIYOU'
SLT , 'SHASTA'
STM , 'SHASTA'
CDP , 'MODOC'
BLA , 'LASSEN'
MED , 'SISKIYOU'
ADM , 'MODOC'
SNM , 'SHASTA'
NLS , 'GLENN'
LLP , 'SHASTA'
KTL , 'PLUMAS'
GRZ , 'PLUMAS'
PLP , 'PLUMAS'
GOL , 'SIERRA'
HMB , 'PLUMAS'
HRK , 'LASSEN'
RTL , 'PLUMAS'
BKL , 'PLUMAS'
FOR , 'PLUMAS'
RCC , 'SIERRA'
SCN , 'EL DORADO'
LOS , 'EL DORADO'
CXS , 'ALPINE'
CAP , 'ALPINE'
ALP , 'EL DORADO'
FRN , 'EL DORADO'
SIL , 'EL DORADO'
VVL , 'EL DORADO'
HYS , 'PLACER'
RBB , 'EL DORADO'
GKS , 'PLACER'
BLC , 'PLACER'
RBP , 'EL DORADO'
HHM , 'ALPINE'
BLK , 'ALPINE'
MDL , 'AMADOR'
DDM , 'TUOLUMNE'
GNL , 'TUOLUMNE'
REL , 'TUOLUMNE'
SLM , 'ALPINE'
BLD , 'ALPINE'
BLS , 'CALAVERAS'
TES , 'TUOLUMNE'
DAN , 'TUOLUMNE'
SLI , 'TUOLUMNE'
TUM , 'TUOLUMNE'
HRS , 'TUOLUMNE'
WHW , 'TUOLUMNE'
PDS , 'TUOLUMNE'
KIB , 'TUOLUMNE'
STR , 'MARIPOSA'
TNY , 'MARIPOSA'
GIN , 'MARIPOSA'
VLC , 'FRESNO'
AGP , 'MADERA'
KSP , 'FRESNO'
GRM , 'MADERA'
DPO , 'MADERA'
TMR , 'FRESNO'
CHM , 'MADERA'
HNT , 'FRESNO'
GRV , 'MADERA'
PSR , 'MADERA'
BSH , 'FRESNO'
CRL , 'FRESNO'
BCB , 'FRESNO'
STL , 'FRESNO'
MTM , 'TULARE'
UBC , 'FRESNO'
WWC , 'FRESNO'
BIM , 'TULARE'
FRW , 'TULARE'
GNF , 'TULARE'
QUA , 'TULARE'
UTY , 'TULARE'
CBT , 'TULARE'
CHP , 'TULARE'
PSC , 'TULARE'
WTM , 'TULARE'
TUN , 'TULARE'
CSV , 'TULARE'
BCH , 'TULARE'
DSS , 'MODOC'
SQV , 'PLACER'
IDC , 'SIERRA'
INN , 'SIERRA'
TK2 , 'PLACER'
HVN , 'EL DORADO'
HGM , 'EL DORADO'
EP5 , 'EL DORADO'
RP2 , 'EL DORADO'
TCC , 'PLACER'
WC3 , 'PLACER'
FLL , 'EL DORADO'
EBB , 'ALPINE'
HOR , 'ALPINE'
MNT , 'ALPINE'
BSK , 'ALPINE'
FDC , 'ALPINE'
PSN , 'ALPINE'
SPT , 'ALPINE'
LVT , 'MONO'
SDW , 'MONO'
VRG , 'MONO'
LBD , 'MONO'
SPS , 'MONO'
LVM , 'MONO'
GEM , 'MONO'
SWM , 'INYO'
CWD , 'INYO'
BGP , 'INYO'
RCK , 'INYO'
SLK , 'INYO'
MHP , 'MONO'
